Year;Picea_abies_MKvassta Val;Picea_abies_n;Picea_abies_StdCrn;Pinus_syl_MKcassta Val;Pinus_syl_n;Pinus_syl_StdCrn
1549;NA;0;NA;95;1;0,97
1550;NA;0;NA;86;1;0,888
1551;NA;0;NA;133;1;1,323
1552;NA;0;NA;70;1;0,733
1553;NA;0;NA;82;1;0,868
1554;NA;0;NA;84;1;0,896
1555;NA;0;NA;76;1;0,819
1556;NA;0;NA;91;1;0,981
1557;NA;0;NA;89;1;0,968
1558;NA;0;NA;145;1;1,471
1559;NA;0;NA;140;1;1,438
1560;NA;0;NA;114;1;1,227
1561;NA;0;NA;127;1;1,348
1562;NA;0;NA;85;1;0,968
1563;NA;0;NA;62;1;0,726
1564;NA;0;NA;49;1;0,574
1565;NA;0;NA;77;1;0,91
1566;NA;0;NA;69;2;1,023
1567;NA;0;NA;65;2;1,042
1568;NA;0;NA;58;2;1,02
1569;NA;0;NA;69;2;1,119
1570;NA;0;NA;59;2;1,065
1571;NA;0;NA;51;2;0,89
1572;NA;0;NA;46;2;0,813
1573;NA;0;NA;48;2;0,831
1574;NA;0;NA;54;2;0,896
1575;NA;0;NA;68;2;1,118
1576;NA;0;NA;61;2;1
1577;NA;0;NA;53;2;0,935
1578;NA;0;NA;49;2;0,885
1579;NA;0;NA;50;4;0,858
1580;NA;0;NA;58;4;0,955
1581;NA;0;NA;55;4;0,835
1582;NA;0;NA;78;5;1,061
1583;NA;0;NA;92;5;1,109
1584;NA;0;NA;110;5;1,312
1585;NA;0;NA;141;5;1,831
1586;NA;0;NA;116;5;1,283
1587;NA;0;NA;83;5;1,04
1588;NA;0;NA;78;5;1,043
1589;NA;0;NA;77;5;1,068
1590;NA;0;NA;65;5;0,748
1591;NA;0;NA;67;5;0,863
1592;NA;0;NA;45;5;0,486
1593;NA;0;NA;45;5;0,555
1594;NA;0;NA;76;5;0,928
1595;NA;0;NA;75;5;1,005
1596;NA;0;NA;83;5;1,007
1597;88;2;1,175;87;5;1,196
1598;122;2;1,613;82;6;1,038
1599;67;2;0,942;87;6;1,124
1600;67;2;0,956;77;6;1,012
1601;48;2;0,661;50;6;0,677
1602;38;3;0,603;59;6;0,772
1603;71;3;1,202;77;6;0,969
1604;100;3;1,294;82;6;1,066
1605;97;3;1,76;88;6;1,131
1606;70;3;1,263;99;6;1,211
1607;68;3;1,342;63;6;0,836
1608;49;3;1,046;68;6;0,891
1609;41;3;0,808;62;6;0,815
1610;53;3;1,15;71;6;0,906
1611;37;3;0,705;67;6;0,925
1612;40;3;0,851;54;6;0,714
1613;45;3;0,922;72;6;0,961
1614;31;3;0,743;53;6;0,683
1615;42;3;0,941;62;7;0,784
1616;54;3;1,081;69;7;0,878
1617;54;3;1,15;85;7;1,014
1618;33;3;0,792;82;8;1,156
1619;32;3;0,79;73;8;1,089
1620;36;3;0,817;66;8;0,983
1621;35;3;0,865;71;8;0,942
1622;33;3;0,889;65;8;0,861
1623;32;3;0,851;81;8;1,091
1624;33;3;0,75;75;8;1,011
1625;27;3;0,72;88;9;1,098
1626;22;3;0,594;60;9;0,765
1627;32;3;0,783;65;9;0,841
1628;29;3;0,741;71;9;0,882
1629;32;3;0,807;113;9;1,27
1630;20;3;0,459;118;9;1,317
1631;42;3;0,8;98;9;1,178
1632;22;3;0,534;79;9;0,99
1633;34;3;0,853;58;9;0,738
1634;47;3;0,845;71;9;0,893
1635;39;3;0,875;77;9;0,973
1636;56;3;1,122;85;9;1,039
1637;46;3;0,912;76;9;0,948
1638;40;3;0,899;92;9;1,08
1639;57;3;1,221;83;9;0,971
1640;61;3;1,289;92;9;1,132
1641;66;3;1,328;60;10;0,776
1642;74;3;1,471;73;10;0,93
1643;83;3;1,494;87;10;1,085
1644;54;3;1,292;84;10;1,062
1645;42;4;1,051;70;10;0,884
1646;41;6;1,099;98;10;1,203
1647;36;6;0,99;86;10;1,066
1648;41;6;1,093;88;10;1,091
1649;41;6;1,178;92;11;1,19
1650;37;6;1,013;79;11;1,042
1651;35;6;0,975;75;11;0,992
1652;35;6;0,988;79;11;1,057
1653;22;6;0,693;71;11;0,966
1654;28;6;0,787;80;11;1,02
1655;59;6;1,293;94;11;1,174
1656;78;8;1,267;85;11;1,065
1657;71;8;1,216;85;11;1,039
1658;59;9;1,03;77;11;0,972
1659;65;9;1,082;61;11;0,807
1660;51;9;0,937;69;11;0,904
1661;57;9;0,95;70;11;0,872
1662;59;9;0,997;79;11;0,883
1663;57;9;0,985;85;11;0,973
1664;63;9;1,058;76;11;0,91
1665;82;9;1,374;73;11;0,919
1666;73;9;1,226;77;11;0,985
1667;79;9;1,306;80;11;0,981
1668;88;9;1,386;101;11;1,169
1669;67;9;1,177;101;11;1,188
1670;72;9;1,245;86;12;1,072
1671;62;9;1,112;74;12;0,934
1672;53;9;0,989;74;12;0,956
1673;32;9;0,566;82;12;1
1674;45;11;0,845;78;12;0,965
1675;47;11;0,943;89;12;1,067
1676;36;11;0,669;69;12;0,816
1677;46;11;0,878;88;12;1,009
1678;55;11;1,031;108;12;1,172
1679;62;11;1,169;107;12;1,212
1680;46;11;0,876;91;13;1,018
1681;50;11;0,949;108;14;1,194
1682;55;11;1,049;116;14;1,297
1683;61;11;1,141;120;14;1,272
1684;62;11;1,18;112;14;1,234
1685;51;11;1,017;83;15;0,97
1686;38;11;0,774;88;15;0,989
1687;43;11;0,872;91;15;1,064
1688;39;11;0,78;82;15;0,981
1689;71;11;1,176;110;15;1,227
1690;50;12;1,029;103;15;1,194
1691;53;12;1,087;125;16;1,245
1692;55;12;1,127;96;16;1,023
1693;51;12;1,041;91;16;1,06
1694;54;12;1,057;91;16;1,105
1695;40;12;0,857;70;16;0,87
1696;33;12;0,73;65;16;0,778
1697;38;12;0,809;98;16;1,08
1698;31;12;0,697;88;16;1,068
1699;28;12;0,587;77;17;1,01
1700;46;13;0,876;101;17;1,16
1701;56;13;1,078;101;17;1,203
1702;61;14;1,108;98;17;1,149
1703;62;14;1,084;102;17;1,183
1704;49;14;0,922;83;17;1,016
1705;50;16;0,938;65;17;0,849
1706;65;16;1,186;88;17;1,077
1707;39;16;0,744;91;17;1,14
1708;33;16;0,633;59;17;0,815
1709;31;18;0,578;32;17;0,432
1710;33;18;0,602;38;18;0,594
1711;54;20;0,896;48;18;0,719
1712;63;20;1,011;44;18;0,661
1713;67;22;0,978;44;18;0,645
1714;65;22;1,024;41;18;0,614
1715;62;22;0,98;45;18;0,682
1716;88;23;1,297;52;18;0,774
1717;84;23;1,314;60;19;0,831
1718;66;23;1,05;65;19;0,855
1719;78;23;1,245;63;20;0,899
1720;67;23;1,077;68;20;0,918
1721;73;23;1,163;68;22;0,883
1722;67;26;1,053;73;22;0,993
1723;62;27;0,947;67;22;0,864
1724;65;28;0,987;68;22;0,895
1725;74;28;1,118;76;23;0,951
1726;69;28;1,073;75;23;0,96
1727;82;28;1,209;86;23;1,07
1728;66;28;1,015;73;23;0,928
1729;66;28;1,009;73;23;0,937
1730;62;29;0,965;83;23;1,018
1731;46;29;0,723;69;23;0,875
1732;61;29;0,934;83;23;0,989
1733;52;29;0,791;77;23;0,953
1734;60;29;0,913;93;23;1,103
1735;70;29;1,086;110;23;1,255
1736;74;29;1,137;114;23;1,272
1737;61;31;0,917;76;23;0,925
1738;79;31;1,164;123;24;1,26
1739;63;31;0,932;118;24;1,261
1740;61;32;0,932;89;24;1,027
1741;44;33;0,621;52;25;0,591
1742;66;33;0,927;76;25;0,876
1743;77;33;1,042;81;25;0,923
1744;65;33;0,899;88;25;1
1745;89;33;1,252;84;25;0,938
1746;85;33;1,223;100;25;1,101
1747;85;35;1,231;87;25;0,987
1748;77;35;1,124;93;25;1,041
1749;73;35;1,082;77;25;0,878
1750;70;36;1,06;93;25;1,024
1751;63;36;0,929;80;25;0,938
1752;79;36;1,176;131;26;1,334
1753;73;36;1,037;112;27;1,155
1754;60;36;0,923;95;27;1,075
1755;77;36;1,152;118;27;1,257
1756;60;36;0,91;94;27;1,047
1757;68;36;1,021;114;27;1,22
1758;61;36;0,939;87;28;0,982
1759;63;36;0,997;86;29;0,979
1760;73;36;1,16;100;29;1,088
1761;82;36;1,211;106;29;1,153
1762;79;37;1,154;109;30;1,198
1763;80;37;1,164;113;30;1,236
1764;47;37;0,714;92;30;1,052
1765;55;37;0,858;67;30;0,811
1766;68;37;1,032;110;30;1,237
1767;45;37;0,681;95;30;1,115
1768;62;37;0,995;81;31;0,981
1769;50;37;0,832;82;32;0,998
1770;57;37;0,929;94;32;1,12
1771;76;37;1,196;82;31;1,009
1772;68;37;1,114;77;31;0,963
1773;69;37;1,096;78;31;0,98
1774;61;37;1,017;84;31;1,051
1775;64;38;1,084;93;31;1,125
1776;67;38;1,145;103;31;1,244
1777;50;38;0,886;85;31;1,056
1778;51;37;0,913;94;31;1,153
1779;49;37;0,862;92;31;1,151
1780;39;37;0,672;77;32;1,015
1781;64;37;1,049;66;32;0,829
1782;57;38;0,951;71;32;0,958
1783;68;39;1,163;68;32;0,927
1784;55;40;0,946;62;32;0,876
1785;67;40;1,121;70;32;0,961
1786;45;40;0,8;53;32;0,756
1787;58;40;1,021;61;32;0,862
1788;68;40;1,148;67;32;0,958
1789;74;40;1,238;70;32;0,975
1790;46;41;0,819;57;33;0,865
1791;53;42;0,938;55;33;0,834
1792;73;42;1,237;67;33;0,943
1793;59;42;1,056;69;33;0,964
1794;50;42;0,885;73;33;1,014
1795;46;42;0,853;57;33;0,855
1796;65;42;1,161;69;33;0,992
1797;52;42;0,887;63;33;0,957
1798;78;42;1,226;82;34;1,139
1799;73;38;1,164;88;34;1,161
1800;53;39;0,928;63;34;0,866
1801;58;39;1,027;75;34;0,981
1802;47;39;0,818;70;34;0,944
1803;38;39;0,646;50;35;0,712
1804;51;39;0,875;65;35;0,888
1805;41;39;0,704;68;36;0,94
1806;38;39;0,662;44;36;0,631
1807;57;39;0,996;56;36;0,813
1808;77;39;1,297;72;36;1,019
1809;60;38;1,062;79;36;1,09
1810;56;38;1,01;72;37;0,976
1811;71;38;1,18;80;37;1,022
1812;56;38;0,963;68;38;0,902
1813;63;38;1,059;77;38;0,974
1814;56;39;1,004;75;38;1,004
1815;56;39;1;72;38;0,933
1816;73;39;1,255;84;39;1,064
1817;77;39;1,283;83;39;1,053
1818;78;39;1,315;83;39;1,063
1819;75;40;1,266;102;39;1,261
1820;59;41;1,049;71;40;0,941
1821;22;41;0,357;55;41;0,684
1822;53;41;0,955;76;41;0,932
1823;42;41;0,777;87;41;1,092
1824;50;41;0,879;68;41;0,913
1825;46;41;0,826;67;42;0,889
1826;73;41;1,257;103;42;1,263
1827;73;41;1,26;85;42;1,1
1828;72;41;1,231;106;42;1,299
1829;67;41;1,163;85;42;1,101
1830;51;41;0,917;76;43;0,956
1831;67;41;1,132;91;43;1,108
1832;40;41;0,76;72;43;0,932
1833;49;41;0,926;96;44;1,143
1834;45;41;0,821;104;44;1,196
1835;50;41;0,908;89;44;1,069
1836;51;41;0,927;94;44;1,134
1837;52;41;0,946;83;44;1,042
1838;53;41;0,964;90;44;1,112
1839;54;41;0,944;63;44;0,812
1840;47;41;0,859;68;44;0,835
1841;53;41;0,979;67;44;0,891
1842;58;41;1,059;77;44;1,012
1843;65;41;1,142;77;44;1,002
1844;47;41;0,88;51;43;0,697
1845;55;41;0,991;73;43;0,952
1846;55;41;0,979;73;43;0,944
1847;51;42;0,963;85;43;1,09
1848;48;42;0,912;68;43;0,908
1849;36;43;0,64;56;43;0,743
1850;50;43;0,931;58;43;0,802
1851;33;43;0,621;60;43;0,862
1852;61;43;1,08;74;43;1,004
1853;58;43;1,044;55;43;0,838
1854;66;44;1,16;76;43;1,097
1855;55;44;0,981;75;44;1,02
1856;33;44;0,62;55;44;0,791
1857;38;44;0,716;59;45;0,819
1858;60;44;1,038;86;45;1,146
1859;66;42;1,11;77;45;1,053
1860;79;43;1,274;89;44;1,167
1861;85;44;1,371;90;44;1,179
1862;74;44;1,252;86;44;1,154
1863;59;44;1,052;63;45;0,899
1864;53;44;0,95;50;45;0,726
1865;42;46;0,739;35;45;0,5
1866;55;46;0,97;50;45;0,749
1867;49;46;0,876;58;45;0,863
1868;72;46;1,133;67;45;0,923
1869;42;46;0,72;58;45;0,826
1870;55;46;0,963;60;45;0,846
1871;59;45;1,045;68;45;0,973
1872;74;45;1,263;76;45;1,068
1873;66;45;1,149;74;45;1,048
1874;57;45;0,993;67;45;0,961
1875;60;45;1,033;81;46;1,096
1876;57;45;1,023;82;46;1,109
1877;61;45;1,073;89;46;1,198
1878;67;45;1,185;87;46;1,154
1879;66;45;1,158;87;46;1,197
1880;57;45;1,02;76;47;1,059
1881;63;45;1,111;66;47;0,967
1882;70;45;1,21;98;47;1,277
1883;61;45;1,094;93;47;1,236
1884;58;45;1,093;103;47;1,314
1885;48;45;0,916;95;47;1,233
1886;60;45;1,118;81;48;1,09
1887;45;45;0,863;87;49;1,112
1888;58;45;1,07;70;49;0,954
1889;75;45;1,292;91;49;1,172
1890;58;45;1,053;91;49;1,191
1891;54;45;1,038;85;49;1,151
1892;44;45;0,877;65;49;0,934
1893;59;45;1,137;84;48;1,138
1894;49;44;0,954;73;49;1,007
1895;58;44;1,084;71;49;0,994
1896;48;44;0,944;68;49;0,966
1897;57;44;1,095;77;49;1,048
1898;55;44;1,074;67;49;0,985
1899;62;39;1,218;69;49;1,012
1900;64;39;1,233;65;49;0,961
1901;59;39;1,107;83;49;1,123
1902;36;38;0,719;66;49;0,959
1903;48;38;0,936;53;49;0,765
1904;43;38;0,845;56;49;0,81
1905;52;38;0,971;52;49;0,821
1906;58;38;1,008;61;49;0,931
1907;61;38;1,086;59;49;0,913
1908;59;38;1,079;61;49;0,905
1909;55;37;1,016;56;49;0,88
1910;62;37;1,079;68;50;0,954
1911;52;37;1,022;64;50;0,933
1912;51;37;1,013;70;50;0,986
1913;49;37;0,987;74;50;1,009
1914;52;37;1,05;86;50;1,149
1915;44;37;0,908;74;50;1,033
1916;47;37;0,97;81;50;1,108
1917;54;36;1,081;77;50;1,079
1918;35;36;0,728;76;50;1,014
1919;54;36;1,093;73;50;1,035
1920;39;36;0,81;55;50;0,801
1921;28;36;0,612;45;50;0,689
1922;40;36;0,844;52;50;0,8
1923;29;36;0,651;37;50;0,616
1924;43;36;0,87;50;50;0,796
1925;46;36;0,93;68;49;1,005
1926;49;36;1,032;62;49;0,961
1927;57;36;1,082;73;49;1,068
1928;28;36;0,651;40;49;0,646
1929;52;36;1,073;59;49;0,891
1930;52;36;1,089;83;49;1,174
1931;39;36;0,88;69;49;1,032
1932;51;35;1,064;60;49;0,907
1933;50;35;1,078;68;49;1,028
1934;42;35;0,912;85;48;1,177
1935;52;35;1,122;69;48;1,026
1936;57;35;1,213;76;48;1,107
1937;52;35;1,124;75;47;1,098
1938;38;35;0,887;68;47;0,991
1939;47;35;1,048;74;47;1,06
1940;50;35;1,092;64;47;0,98
1941;55;35;1,147;82;47;1,186
1942;36;35;0,85;60;47;0,948
1943;41;35;0,956;73;45;1,08
1944;40;35;0,947;78;44;1,136
1945;44;34;1,008;75;44;1,104
1946;46;34;1,024;70;43;1,051
1947;50;34;1,09;85;43;1,196
1948;30;34;0,807;78;42;1,093
1949;41;34;1,009;88;42;1,194
1950;43;34;1,041;96;42;1,275
1951;38;34;0,972;80;42;1,133
1952;37;34;0,914;68;42;0,981
1953;50;34;1,188;86;42;1,218
1954;40;34;1,02;79;42;1,164
1955;47;34;1,158;74;42;1,121
1956;34;34;0,931;64;42;0,999
1957;33;34;0,921;63;42;0,978
1958;34;34;0,95;58;42;0,963
1959;32;34;0,92;68;42;1,076
1960;42;33;1,067;73;42;1,124
1961;27;33;0,796;58;42;0,949
1962;29;33;0,841;59;41;0,938
1963;41;33;1,08;64;41;1,041
1964;27;33;0,808;66;41;1,029
1965;31;32;0,905;61;41;0,979
1966;37;31;1,013;56;41;0,956
1967;37;29;0,98;58;41;0,982
1968;39;29;0,996;65;41;1,074
1969;43;27;1,1;58;41;1
1970;53;27;1,231;69;41;1,128
1971;39;27;1,032;72;41;1,09
1972;43;27;1,129;76;41;1,163
1973;44;27;1,159;81;41;1,203
1974;34;27;0,942;66;41;1,065
1975;35;27;0,992;85;41;1,267
1976;45;27;1,17;78;41;1,191
1977;35;27;0,984;55;41;0,959
1978;45;27;1,194;61;41;1,042
1979;41;27;1,12;58;41;0,995
1980;45;27;1,203;69;41;1,109
1981;32;27;0,978;44;41;0,841
1982;29;26;0,926;57;40;0,96
1983;37;26;1,064;67;40;1,094
1984;40;26;1,136;55;40;0,958
1985;38;26;1,112;74;40;1,205
1986;44;26;1,183;64;40;1,073
1987;26;25;0,85;56;39;0,976
1988;39;25;1,13;65;39;1,085
1989;22;25;0,786;52;39;0,91
1990;29;25;0,986;60;39;0,954
1991;26;24;0,902;66;39;1,044
1992;37;24;1,142;44;39;0,834
1993;21;24;0,802;42;39;0,82
1994;19;24;0,741;51;39;0,923
1995;27;24;0,976;48;39;0,935
1996;18;24;0,749;39;39;0,801
1997;37;24;1,174;54;39;1,004
1998;22;24;0,876;40;38;0,82
1999;30;24;1,042;50;38;0,932
2000;21;24;0,871;53;38;0,978
2001;28;24;1,042;67;38;1,143
2002;30;24;1,071;61;38;1,084
2003;21;22;0,849;57;37;1,046
2004;17;22;0,758;48;37;0,861
2005;25;22;0,925;58;37;0,984
2006;28;22;1,01;68;37;1,05
2007;25;22;0,971;63;37;1,032
2008;27;21;0,991;67;37;1,041
2009;33;20;0,847;68;37;1,116
2010;33;18;0,878;61;36;1,033
2011;32;17;0,948;53;36;0,974
2012;35;4;1,16;67;19;0,967
